seed,other_10,other_20,other_30,other_40,other_50,other_60,other_70,other_80,other_90,other_100
8544,0.0660061033282443,-0.0642356164335879,0.0190131145440204,-0.0970194821263356,0.000626771632977269,0.0304514793758271,0.0236542802473284,0.02984020282271,0.0258277315094148,0.0574120865468703
9251,0.0439323865541983,0.089230740964122,0.0548597582473282,0.0541028274007635,-0.0363949698891601,-0.046228127683206,0.00474784435637966,0.0223197513742367,0.0319390601301103,0.0561647148160306
9147,-0.0259858099022901,-0.0891253626045799,0.0594586620885497,0.120482156788168,0.155723645371908,0.10729334562341,0.114934694817666,0.0462357417330154,0.0483738022900764,0.06371368357771
488,0.154749779555725,0.170893462233588,0.0669705996147582,0.0368565700599236,0.0503379443945038,0.0811191594450383,0.0670702629208288,0.0754036242305344,0.0662365094244276,0.0638576138914505
2959,-0.0904020053618321,-0.0277668903633589,0.100947880816285,0.0774540904293893,0.0668750661685495,0.0318206044547074,0.0208382435075246,0.0595397263765268,0.0734612244773538,0.047710265568855
2599,0.00316949470076319,0.0791264172435115,-0.0315558961241729,-0.00766085212748085,-0.0801928753487021,-0.0502738462646309,0.0197016132004363,0.0127417956503818,0.0335220926727736,0.0569331538317558
4429,0.14011574199542,0.103485557203817,0.155691272779644,0.132439428026336,0.121674777944733,0.112197098536896,0.0757402053452564,0.102092365501527,0.110899654576082,0.0744780134612215
5443,0.0366081660122139,-0.0392646188099235,0.167314634946565,0.113724039493893,0.135997143489466,0.115611331183461,0.117282063578408,0.0904797661225192,0.0725788626802376,0.0809625684222902
7013,0.55700044100916,0.148488546145038,-0.0213942096905846,-0.0152989409564882,0.00965661369404617,0.0715982374854965,0.110165885163795,0.065499400856107,0.0614604790084819,0.0608512593122138
473,0.00907775482442771,-0.147530394674809,0.0277799826732824,0.0404883977442747,0.0925485920732824,0.0760268732964377,0.0577334497083971,0.0658952667923665,0.0160596918093301,0.0581929928937406
7479,0.410576513711451,0.28753042280458,-0.0842311082707378,-0.0277946904232824,-0.0216295995905343,-0.0148575928600508,-0.00258240039585597,0.0205910179501909,0.0656050150553012,0.08192554153542
2642,-0.0792853080992368,-0.157054138190839,0.0762971518580155,0.0462551873935115,0.0756727753267176,0.0720973421539441,0.0362219542316249,0.0918622987501908,0.0303833417482613,0.0710359097691604
620,-0.00515333449160338,-0.0189782288366413,0.0375462963877864,0.0177131077114505,0.0632110243529772,0.0772099679155217,0.0826351781862597,0.0645736726017177,0.0516094318094997,0.0570675335424428
4807,0.0655960089282445,0.191920495961832,-0.0790375888132314,0.0153251734206108,-0.0111860339157251,0.00684639930763363,0.00405914105801528,0.0265256925030534,0.0541413744061069,0.0812465008632062
6700,0.238227305004581,0.160655542203817,0.0627907789048351,0.085381011796947,0.0694455305584736,0.0360043087715016,0.0384469795808072,0.0503046731973284,0.0590758282308737,0.0824496433048856
5022,0.24975259648397,0.155498544640458,-0.0106811962615773,0.0325102214896948,0.00474312092641235,0.0336290859661579,0.0408280556577973,0.0691755229097329,0.0573264217017813,0.0656801664123665
231,0.0264519908732825,-0.0902895222328241,-0.102227727776081,-0.130624843877099,-0.0863248815267175,-0.0355533281493638,-0.0226532459247546,0.0199557689148856,0.0454909702710773,0.0840916555322139
106,-0.29727786072977,-0.134294216530534,0.141015289118066,0.0499141946370233,0.0934623882509927,0.112712034614504,0.112075276695311,0.0829255944788169,0.036358951604241,0.0464965913328245
1050,0.120715161967939,0.111449565222138,0.10930026793944,0.0759239077961834,-0.000237234021984484,0.0304592992857508,0.0372921746194113,0.021450611907252,0.0457773801007635,0.0512543283996948
237,0.075692347367939,0.109273505250382,0.00219246162748101,0.0752709507774809,0.119333293432367,0.0845466702152673,0.0904503298896402,0.0477935906291986,0.0452445896834607,0.0645913546732826
415,0.214641024335878,0.137231740385496,0.235927961085496,0.214580333087786,0.205925524772824,0.187625547959796,0.107364678477426,0.0951885403625956,0.0740746294088212,0.0665982992048856
8180,0.0869170823877859,0.123862497344275,0.155387024581171,0.158675002997328,0.110187847932214,0.0407015509292623,0.0481651567182117,0.0498903512276719,0.058655813896353,0.0536002438482444
473,0.00907775482442771,-0.147530394674809,0.0277799826732824,0.0404883977442747,0.0925485920732824,0.0760268732964377,0.0577334497083971,0.0658952667923665,0.0160596918093301,0.0581929928937406
