cond_s,mean,sd,upper_pct,lower_pct,n
other_10,-0.0264209267386154,0.697602067539592,0.96467607858517,-0.992672198874259,5
other_20,-0.034327744515951,0.646907410834164,0.949322730868012,-0.972605338650942,5
other_30,-0.0872375149648415,0.668084382924246,0.929292027275573,-0.977333407586277,5
other_40,-0.103739287626415,0.698450584514214,0.960876129241412,-0.972976524865223,5
other_50,0.0150047811941642,0.668562500093925,0.959584494076704,-0.942732971785685,5
other_60,0.025064539983636,0.627122884411493,0.940294921255772,-0.915801268206935,5
other_70,0.0339189659489557,0.70182840280495,0.942613679543186,-0.977312124493038,5
other_80,0.0491980738436431,0.676694868452915,0.936091615886489,-0.948365846821115,5
other_90,-0.214230065920532,0.639034137328213,0.97005593848602,-0.957507891825721,5
other_100,-0.180678170724659,0.588320173888843,0.80825411591459,-0.824775533364616,5
