id,cond,n_trials,mean,sd,aSEM,bSEM
a_processed_indivtrial,other,100,0.0482130279160305,0.309575980699615,0.0309575980699615,0.0320854259226705
b_processed_indivtrial,other,100,0.276056716503054,2.42356694443815,0.242356694443815,0.238316550433081
c_processed_indivtrial,other,115,0.000929689305675289,1.52802043662952,0.142488640424649,0.14693871700155
d_processed_indivtrial,other,102,-0.00681287349423725,0.583005575522052,0.0577261538144862,0.0593667241469865
e_processed_indivtrial,other,100,0.0103469615587785,1.62110522771218,0.162110522771218,0.162520059948179
