cond_s,mean,sd,upper_pct,lower_pct,n
other_10,0.0729796489900962,0.163163794482615,0.410576513711451,-0.221066273847328,5
other_20,0.0731919203683307,0.116784848947408,0.262815828414504,-0.152292266432824,5
other_30,0.0634105003981162,0.089992619861664,0.213032969984733,-0.0842311082707378,5
other_40,0.0654022872403447,0.068749452951777,0.184077488967176,-0.0668347291862594,5
other_50,0.0664520970063299,0.0672326069378017,0.193437717443969,-0.0801928753487021,5
other_60,0.062211040729795,0.0514338378626829,0.143854640843002,-0.046228127683206,5
other_70,0.0671912459592397,0.0438416463442058,0.15404128800349,-0.00267766139171194,5
other_80,0.0648803861620948,0.0313693221638496,0.113998968417748,0.0127417956503818,5
other_90,0.0625076438170578,0.0216438701335629,0.110899654576082,0.0303833417482613,5
other_100,0.0669591563150339,0.0111274586522863,0.0878497545106108,0.047710265568855,5
