Row,max Value for Window 75-130,Latency at max for Window 75-130,min Value for Window 100-230,Latency at min for Window 100-230,Global Max Value,Latency at Global Max,Global Min Value,Latency at Global Min,All Maxes (with Values),All Mins (with Values),Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230,Area Under Curve for Window 75-130,Area Under Curve for Window 100-230,Global Area Under the Curve,50% Area Under Curve for Window75-130,Latency at 50% Area Under Curve for Window75-130,50% Area Under Curve for Window100-230,Latency at 50% Area Under Curve for Window100-230,Global 50% Area Under Curve,Latency at 50% Area Under the Curve
"a_processed_IndivTrial.txt",0.402348660566667,114,-0.6867205399,200,0.8980214381,216,-0.7574653581,406,"11(0.22) 39(0.44) 68(0.03) 114(0.4) 164(0.46) 184(0.15) 216(0.9) 264(0.19) 281(0.14) 315(0.37) 342(0.35) 389(0.77) 422(0.34) 443(0.28) ","24( -0.43) 55( -0.16) 96( -0.3) 147( -0.53) 177( 0.06) 200( -0.69) 234( -0.6) 276( 0.12) 299( -0.41) 329( -0.15) 359( -0.3) 406( -0.76) 433( 0.02) ",0.0373658267375,0.05201999166514,9.84272081955,39.47533608775,110.673741014533,5.01049761266667,110,19.7536085338,183,55.3547133337834,228
"b_processed_IndivTrial.txt",1.31341041293333,104,-1.04355933123333,191,1.5533538285,48,-1.39102825686667,29,"11(0.61) 48(1.55) 104(1.31) 173(1.05) 209(0.01) 226(0.66) 256(0.06) 277(0.1) 303(0.49) 335(0.48) 357(-0.26) 389(0.59) 418(-0.14) ","29( -1.39) 84( -1.34) 137( -1.03) 191( -1.04) 210( 0.01) 243( -0.54) 266( -0.14) 289( -0.27) 319( -1.08) 350( -0.34) 372( -0.93) 406( -0.45) 433( -0.85) ",0.118552816155952,0.144328384424936,44.2040497788667,74.8125119074333,224.743373841817,22.55734459805,101,37.3368868941833,156,112.27387599625,164
"c_processed_IndivTrial.txt",4.25653890942029,102,-1.73955708947826,136,4.25653890942029,102,-5.44610871397101,81,"11(0.31) 59(3.07) 102(4.26) 157(0.77) 179(0.65) 213(0.48) 242(0.2) 272(0.34) 336(0.53) 378(0.68) 418(-0.04) ","31( -1.53) 81( -5.45) 136( -1.74) 168( 0.23) 196( -1.17) 228( -0.54) 256( -0.34) 292( -0.39) 358( -1) 400( -0.39) 433( -0.42) ",-0.370817457649068,0.0597606065062507,140.215507498406,118.04969292842,357.774684031899,69.7353790892319,95,58.3832073670435,133,178.508297007029,101
"d_processed_IndivTrial.txt",0.338842823464052,117,-0.60515169382353,137,0.60583782003268,44,-0.60515169382353,137,"10(0.14) 44(0.61) 80(0.24) 117(0.34) 156(0.58) 188(-0.08) 215(0.4) 264(0.4) 298(0.23) 325(0.13) 351(0.19) 385(0.38) 414(-0.04) ","26( -0.48) 62( -0.54) 98( -0.27) 137( -0.61) 175( -0.36) 197( -0.17) 236( -0.38) 282( -0.48) 312( -0.2) 338( -0.16) 367( -0.5) 402( -0.17) 430( -0.36) ",0.0415322691199813,-0.00281121547946914,10.1405765237745,32.6126544846079,103.194343011324,5.07039815933007,103,16.405632850098,156,51.6698374681536,196
"e_processed_IndivTrial.txt",0.5768132996,113,-1.1997922892,194,2.17692796896667,52,-1.9237626713,71,"23(-0.71) 52(2.18) 89(0.43) 113(0.58) 158(0.33) 174(0.36) 214(1.24) 256(0.47) 305(0.12) 342(0.79) 377(0.84) 412(1.42) ","16( -0.8) 33( -1.03) 71( -1.92) 100( 0.08) 135( -0.83) 166( 0.28) 194( -1.2) 234( -0.99) 275( -0.32) 324( -0.65) 360( -0.94) 394( -1.32) 436( -1.17) ",0.0484267508916667,0.00257694537506361,21.0012917021833,64.8678258853667,265.014205495967,10.5173524975167,99,32.4887756436833,188,132.388985264583,205
"Average ERP Waveform",1.07900954186324,103,-0.86840362655688,137,1.13578633349317,52,-1.37133186451298,80,"8(0.18) 52(1.14) 103(1.08) 159(0.43) 174(0.32) 215(0.6) 261(0.13) 304(0.04) 339(0.32) 383(0.35) 416(0.2) ","29( -0.88) 80( -1.37) 137( -0.87) 170( 0.31) 195( -0.76) 235( -0.42) 288( -0.17) 320( -0.28) 361( -0.55) 400( -0.33) 433( -0.53) ",-0.0249879589487936,0.0511749424983843,38.5270125149125,57.9795334670683,163.780368792911,18.9274864095943,97,28.8881541879672,147,82.0051551796153,135
