a_processed_IndivTrial.txt,b_processed_IndivTrial.txt,c_processed_IndivTrial.txt,d_processed_IndivTrial.txt,e_processed_IndivTrial.txt,Average ERP Waveform,95% CI Lower Bound,95% CI Upper Bound,Standard Error
-0.0502669651,-0.51543879,-0.799049686260869,-0.319956956666666,-1.2234833871,-0.581639157025507,-1.2234833871,-0.0502669651,0.201797896772116
-0.00318744700000001,-0.635351616,-0.613021250347826,-0.289747745,-1.2185711884,-0.551975849349565,-1.2185711884,-0.00318744700000001,0.203095998822663
0.0379465634,-0.7565765125,-0.412966574608695,-0.251430890098039,-1.1797844592,-0.512562374601347,-1.1797844592,0.0379465634,0.210463450041218
0.0715915605,-0.8755235588,-0.204566049826087,-0.206171924607843,-1.1085682295,-0.464647640446786,-1.1085682295,0.0715915605,0.224216118441508
0.09664551,-0.9881121616,0.00612335765217361,-0.155354412843137,-1.0075362083,-0.409646783018193,-1.0075362083,0.09664551,0.243511320522633
0.1125114914,-1.0899571844,0.212891444,-0.100533977941177,-0.8803868148,-0.349095008348235,-1.0899571844,0.212891444,0.266630799662823
0.1191321028,-1.1765832297,0.409610733304348,-0.0433854673529412,-0.7317662198,-0.284598416149718,-1.1765832297,0.409610733304348,0.291436469407153
0.1169931562,-1.2436536173,0.590471145391304,0.014351436372549,-0.5670896433,-0.217785504527229,-1.2436536173,0.590471145391304,0.31572629675986
0.1070957204,-1.2872021021,0.750204943739131,0.0709294956862745,-0.3923246055,-0.150259309554919,-1.2872021021,0.750204943739131,0.337433437250128
0.0909011429,-1.3038539873,0.884290341304348,0.12465051372549,-0.2137432982,-0.0835510575140324,-1.3038539873,0.884290341304348,0.354724378760586
0.0702430622000001,-1.2910252947,0.989124387478261,0.173921164215686,-0.0376656970000001,-0.0190804755612105,-1.2910252947,0.989124387478261,0.366052892803836
0.0472199255,-1.2470875015,1.06215647826087,0.217302567745098,0.1298131008,0.0418809141611937,-1.2470875015,1.06215647826087,0.370198266764332
0.024073029,-1.171489184,1.10197762817391,0.253557888137255,0.2830786051,0.0982395932822335,-1.171489184,1.10197762817391,0.366298452277014
