cond_s,mean,sd,upper_pct,lower_pct,n
other_10,-0.0142974044932534,0.208595497504541,0.463368202464286,-0.307782847083928,5
other_20,-0.00106378024628374,0.132224088686649,0.257174218157143,-0.253005776341964,5
other_30,-0.0224322965944225,0.0841628633080571,0.182148043815476,-0.170459071938095,5
other_40,-0.021664888555657,0.0672693766295443,0.0895482271375003,-0.163691203774554,5
other_50,-0.021385093852522,0.0719376464209141,0.121326216645357,-0.187974990643571,5
other_60,-0.0235100386965885,0.0627576130646078,0.0986367522851192,-0.200038034747619,5
other_70,-0.0188161332336738,0.0502071897418778,0.0790583956341838,-0.146839549345918,5
other_80,-0.0205865151627762,0.0367061801192549,0.0590476418145091,-0.0796874137124998,5
other_90,-0.0216423627375673,0.0248770156285641,0.0341959517916669,-0.0764645834325395,5
other_100,-0.0212957555619369,0.0117115516552889,0.00649863503892874,-0.0513305181053569,5
