cond_s,mean,sd,upper_pct,lower_pct,n
other_10,0.19793019318505,0.636242561458052,0.972168452304617,-0.944134459679228,5
other_20,0.271417160738786,0.662158621303997,0.959995082867492,-0.955481264925498,5
other_30,0.362588630489718,0.59713489078216,0.979278120330535,-0.887276269658978,5
other_40,0.460304341977377,0.546594259961175,0.991421407738954,-0.807898011568723,5
other_50,0.544608604626635,0.502348466282409,0.989545086710315,-0.755438616909694,5
other_60,0.652679464028804,0.383843012343161,0.990119782746986,-0.482619585340286,5
other_70,0.714307019652807,0.316714885854908,0.990841169324493,-0.200243398497502,5
other_80,0.758161292004408,0.265939686893335,0.992216735325064,-0.0650806353475921,5
other_90,0.774629349615964,0.258381308745649,0.99253852781959,-0.0444415364931462,5
other_100,0.804822785189151,0.193940195387634,0.990868108966756,0.284743486573027,5
