Row,Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230
"Trial 1",1.157883045,2.69117799641221
"Trial 2",1.12547619142857,3.60759202015267
"Trial 3",2.51045785625,3.67891431022901
"Trial 4",1.03843246553571,2.4253052778626
"Trial 5",1.50922526892857,-6.20716833694657
"Trial 6",1.30691482821429,1.46654326633588
"Trial 7",2.28084071,0.558462403969466
"Trial 8",-0.379668193571429,1.58688594732824
"Trial 9",-0.598760845535714,2.48603632496183
"Trial 10",0.929075410178571,0.347925239160305
"Trial 11",0.986087253035714,1.00650186083969
"Trial 12",-0.993207512321429,0.73007137221374
"Trial 13",-1.5806970225,1.33253008877863
"Trial 14",0.73152631125,0.506686055648855
"Trial 15",0.436077094464286,0.210275206870229
"Trial 16",0.0963026330357142,-0.64284972
"Trial 17",0.840885814107143,-0.279215726946565
"Trial 18",-0.243879595357143,1.14642556572519
"Trial 19",-2.46310251428571,0.854521793129771
"Trial 20",-0.548233580357143,-0.671159737786259
"Trial 21",-0.550203443214286,0.320412599618321
"Trial 22",-3.16285234607143,0.420116513740458
"Trial 23",-0.277116245,0.55868446740458
"Trial 24",-0.632683247678571,0.060518669389313
"Trial 25",0.169419191607143,0.15135036389313
"Trial 26",-1.59130519410714,0.355258830763359
"Trial 27",-1.48105175107143,-0.124806045496183
"Trial 28",-2.07913698982143,1.04115309229008
"Trial 29",0.507563309107143,1.5102532748855
"Trial 30",-0.148482176785714,-0.234800313969466
"Trial 31",-0.3871508275,0.166502684580153
"Trial 32",0.0468658442857144,0.390671056335878
"Trial 33",-2.26850909535714,1.18129493114504
"Trial 34",-2.86414448214286,0.780884102061069
"Trial 35",-2.51114930714286,0.0891124139694658
"Trial 36",-0.175973690714286,0.409638588320611
"Trial 37",-1.78861529339286,0.310764554503817
"Trial 38",-3.65275016,-0.316494754503817
"Trial 39",-1.93403426517857,0.662284244045802
"Trial 40",-2.92119465982143,0.368977868931298
"Trial 41",0.17520405,0.731885883129771
"Trial 42",-2.24424070928571,0.754948733816794
"Trial 43",-0.414355101607143,0.254930557633588
"Trial 44",-0.812299875892857,1.18355070251908
"Trial 45",0.192480134642857,-0.444051199160305
"Trial 46",-0.01068935125,-0.303100517557252
"Trial 47",-1.96692327625,0.778852163358779
"Trial 48",-2.97076445607143,0.605686858473283
"Trial 49",-0.772275739285714,-0.018508669389313
"Trial 50",-0.941867097142858,0.129361933969466
"Trial 51",0.0109213326785714,-0.331058871145038
"Trial 52",-1.29334583178571,-0.265988492824428
"Trial 53",-2.81791228035714,-0.0851205725954198
"Trial 54",-0.486638590178571,0.353906961984733
"Trial 55",-0.162414864642857,-0.212062810305344
"Trial 56",-0.729991313392857,-0.00869085587786261
"Trial 57",0.14197925,0.801629787251908
"Trial 58",0.309328690714286,-0.38903679480916
"Trial 59",1.61766292607143,-0.439102673587786
"Trial 60",-1.20171574964286,0.510551399236641
"Trial 61",-0.533888690357143,-1.61280429656489
"Trial 62",0.0318406435714287,0.921951849160305
